28389;8810;WJYJ;NC;Hickory;Positive Alternative Radio Inc.;26500;35.726111;-81.147778
28431;8810;WJZZ;NY;Montgomery;Hudson Valley Public Radio, Inc.;1150;41.47714;-74.26897
28547;8810;WKEL;NY;Webster;K-LOVE, Inc.;15000;43.07064;-77.09261
28602;8810;WKGO;PA;Murrysville;Broadcast Educational Communications, Inc.;1000;40.520000;-79.658056
28661;8810;WKIV;RI;Westerly;K-LOVE, Inc.;1000;41.40519;-71.81161
29002;8810;WKVY;KY;Somerset;K-LOVE, Inc.;4000;37.07675;-84.81078
29019;8810;WKWP;PA;Williamsport;K-LOVE, Inc.;550;41.26222;-77.03306
29271;8810;WLGH;MI;Leroy Township;Smile FM;6700;42.705556;-84.357500
29311;8810;WLHV;NY;Annandale-On-Hudson;Tri-State Public Communications;910;42.09869;-73.73011
29550;8810;WLRA;IL;Lockport;John D. Freberg;140;41.60281;-88.08033
29613;8810;WLTL;IL;La Grange;Lyons Township High School;180;41.81253;-87.88089
29689;8810;WLWJ;IL;Petersburg;GOOD NEWS RADIO, INC.;6000;40.00144;-89.69706
29703;8810;WLWX;IL;Wheaton;K-LOVE, Inc.;250;41.86919;-88.09894
29721;8810;WLXP;GA;Savannah;Christian Multimedia Network, Inc.;5500;32.063333;-81.048889
29806;8810;WMAW;MS;Meridian;Mississippi Authority for Educational Television;100000;32.138333;-89.093333
29821;8810;WMBL;IN;Mitchell;The Moody Bible Institute of Chicago;1000;38.763889;-86.520833
29827;8810;WMBR;MA;Cambridge;TECHNOLOGY BROADCASTING CORPORATION;640;42.361667;-71.084167
29898;8810;WMEK;ME;Kennebunkport;Word Radio Educational Foundation;;;
29912;8810;WMEY;ME;Bowdoin;Light of Life Ministries, Inc.;100;44.10786;-69.92422
29984;8810;WMHS;DE;Pike Creek;RedClay Consolidated School District;88;39.75761;-75.66686
30053;8810;WMKJ;FL;Tavernier;Call Communications Group, Inc.;100;24.990000;-80.540833
30139;8810;WMNR;CT;Monroe;Town of Monroe, CT;5000;41.318889;-73.253611
30187;8810;WMAW;MS;Meridian;Mississippi Authority for Educational Television;100000;32.138333;-89.093333
30284;8810;WMTG;NC;South Waverly;;;;
30294;8810;WMTQ;NY;Elmira;Holy Family Communications;90;42.10611;-76.87111
30315;8810;WMUL;WV;Huntington;MARSHALL UNIVERSITY BOARD OF GOVERNORS;1400;38.423889;-82.428611
30366;8810;WMWK;WI;Milwaukee;Family Stations, Inc.;4600;43.096111;-87.904167
30475;8810;WNAP;IN;Morristown;The Buzzard Broadcasting Network, Inc;28000;39.750278;-85.555278
30478;8810;WNAS;IN;New Albany;New Albany-Floyd County Consolidated School Corporation;2850;38.298889;-85.812500
30507;8810;WNBV;VA;Grundy;JEWELL VALLEY RAILROAD INC.;;;
30519;8810;WNCH;VT;Norwich;Vermont Public Co.;1550;43.43758;-72.45175
30568;8810;WNEE;GA;Patterson;Clarke Public Radio, Inc.;6000;34.01206;-83.29375
30713;8810;WNJT;NJ;Trenton;New York Public Radio;110;40.28289;-74.686
30749;8810;WNLD;IL;Decatur;UNIVERSITY OF NORTHWESTERN - ST. PAUL;1000;39.80975;-88.99203
30961;8810;WNTH;IL;Winnetka;NEW TRIER TOWNSHIP HIGH SCHOOL DISTRICT #203;47;42.094444;-87.718611
